well	strain	FSC_mean	FSC_median	FSC_sd	FSC_var	FSC_CV	FSC_min_90	FSC_max_90	FSC_range_90	log_FL2_mean	log_FL2_median	log_FL2_sd	log_FL2_var	log_FL2_CV	log_FL2_peak1	log_FL2.peak2	log_FL2.peak3	n_FSC	n_log_FL2
A10	MA 6B	376554.82806944445	341358.59375	157464.51072353774	24795072137.40313	65847.17626520622	137245.88984375002	771525.3437499997	634279.4539062496	14.312768592472446	14.319615619526795	0.804673652226404	0.6474996865873798	0.04523930380093765	13.894792921145848	14.716786965769877	NA	9000	9000
A11	MA 1F	232074.22732899306	214599.3515625	88841.46649476928	7892806168.941214	34009.83495574549	102613.726953125	473085.2078124999	370471.48085937486	13.044772946528147	13.069172830320749	0.8367548139486258	0.7001586186661994	0.053673499840604426	13.261389668774541	12.350673394528844	NA	9000	8998
A12	Diploid (AS)	219291.29824045138	219879.546875	74044.60670913008	5482603782.70975	25001.46529616562	111411.936328125	365086.04843749997	253674.11210937495	13.332169385633364	13.315022170515203	0.6608101678630515	0.4366700779511942	0.03275311506481056	12.980877324742867	13.839812275423284	NA	9000	8996
B10	MA 4G (a)	345691.37220833334	326529.9375	113913.2518478569	12976228946.553274	37537.03444682171	170538.43515625	657388.6156249994	486850.1804687494	14.48955418261066	14.224182632312148	1.2248070449772406	1.50015229742588	0.103533364692908	13.683572654411705	16.10613968491298	NA	9000	8999
B11	MA 4B	351967.5327881944	333716.75	117974.69980497473	13918029794.073906	39543.504719935176	168169.01796875	666545.1374999994	498376.1195312494	14.817852638810798	14.645911692312966	1.3408511511398187	1.7978818095129767	0.12133214260776082	13.777091079298547	16.278309930301734	NA	9000	8999
B12	Haploid (AS)	163669.49932291667	166479.296875	53961.150382869724	2911805750.642681	17790.765919664398	72652.331640625	299161.4703124999	226509.1386718749	12.202292291359415	12.219894491933736	0.6196464425284095	0.38396171373811355	0.03146635931758505	12.688774848238024	11.868500425317979	NA	9000	8988
C10	MA 1E	257052.11487239585	238112.1015625	103319.52680558237	10674924619.329454	41528.25050526673	109633.43789062499	547965.5187499999	438332.08085937495	13.225589740525674	13.257358346804475	0.8991319710106765	0.8084383012935441	0.061126824372628036	13.334790577361613	12.504860287657145	NA	9000	8995
C11	MA 5F	330438.8078402778	319830.75	104737.12191821415	10969864707.710854	33197.87036943097	161651.26015625	618359.2999999999	456708.03984374995	13.785437657389918	13.701642190909247	0.760221502734668	0.5779367332201569	0.041923713093747456	13.605231635454643	NA	NA	9000	8998
C12	MA 4C	366926.97744618054	348223.859375	128285.69860764642	16457220467.251894	44851.48675029155	171583.27031249998	721221.7374999999	549638.4671875	14.84489352314143	14.689812361456426	1.2702781150236278	1.6136064895079807	0.1086977476121711	13.796594083241269	16.19431222700632	NA	9000	8998
D10	Diploid (BY)	211436.20927604166	211373.6015625	54671.28031834845	2988948891.6474347	14136.409756311876	98117.137890625	336312.4359375	238195.298046875	12.984211398419239	12.968171763612858	0.7315085466373382	0.5351047538034708	0.04121195638178049	12.752014774786307	13.555682116333408	NA	9000	8994
D11	MA 1H	338194.0668090278	319948.890625	106194.91686931254	11277360368.880201	33345.82559441626	172781.328125	606505.3531249998	433724.0249999998	14.903309005018453	14.847233479773088	1.332533494731577	1.7756455145815497	0.11914438021674444	13.824568923445558	16.220871787137767	NA	9000	9000
D12	MA 2A	301301.6450086805	275759.546875	107329.74604220783	11519674385.484827	38233.028515834834	151068.7109375	599153.8406249998	448085.12968749984	13.90873077569555	13.841102372108335	0.7130135018912181	0.5083882538791782	0.03655173589006036	13.55410682055152	NA	NA	9000	9000
E10	Triploid (AS)	314301.8758923611	327812.453125	98729.50788294435	9747515726.80837	31013.227964781858	143446.2703125	492555.6937499999	349109.4234374999	14.07706422135417	13.973419329503209	0.49194954099068744	0.24201435088094808	0.01719210391281905	13.896775065896144	14.721515143847245	NA	9000	9000
E11	MA 4E	348264.6887291667	331606.546875	115074.70209367442	13242187061.947916	38023.34112674255	172963.603125	652336.0562499999	479372.4531249999	14.730405482583404	14.562105267917609	1.2182823998021874	1.484212005667777	0.10075839442591349	13.826246000670505	16.09306411652785	NA	9000	9000
E12	MA 5H	351384.7792170139	332239.046875	117867.4666497633	13892739694.433065	39537.11292045738	172341.32890624998	668906.7531249998	496565.42421874986	14.797047264817147	14.630221551031655	1.3096936117493345	1.7152973566570167	0.11592159746191183	13.836086090510147	16.201963920158654	NA	9000	9000
F10	MA 4D	344332.8618090278	324914.453125	112031.47978275121	12551052462.312992	36450.34748171668	171901.50078125	636850.6406249999	464949.1398437499	14.907549997040668	14.719947596330929	1.2696001714272835	1.6118845952881875	0.1081253858352423	13.941028439063476	16.31254457986298	NA	9000	9000
F11	MA 3B	279771.58383506944	258904.8984375	98247.1917610524	9652510688.933002	34501.397735315884	144777.16874999998	556774.3156249996	411997.1468749996	13.545869447592494	13.433989559443953	0.6238570439243817	0.3891976112540679	0.028731829489412355	13.262773995765295	14.133533022537598	NA	9000	8999
F12	MA 4F	358260.1298315972	334868.953125	127095.72097878346	16153322291.116777	45088.249978332125	169787.42734375002	710237.1437499999	540449.7164062499	14.984271235437971	15.010337896674937	1.3532362922062984	1.83124846254425	0.12221137977089781	16.193833940750412	13.792345767406374	NA	9000	8998
G10	4G (b)	459258.0847413195	428759.296875	152506.28600130224	23258167269.911	50642.913086682696	224710.25078125	851780.9874999998	627070.7367187499	15.147536955038674	14.912898696964579	1.242825001252988	1.5446139837394899	0.10197129660909589	14.68817253218102	NA	NA	9000	9000
G11	Haploid (BY)	149183.0791592882	144355.703125	52613.79364004569	2768211281.1973124	18555.799335939384	63353.511523437504	278206.7687499999	214853.25722656236	11.654019305629758	11.9079984691299	1.078101740044944	1.1623033618879361	0.0997341201697218	11.980354082771832	NA	NA	9000	8900
G12	Tetraploid (AS)	329000.7482621528	329121.609375	104064.61078741381	10829443218.335922	32916.165922233275	148278.240625	576362.0968749998	428083.85624999984	14.211350455436992	14.232301026697534	0.7320121066353545	0.5358417242607297	0.037705193882944944	14.101120500535659	14.84199019910015	NA	9000	8993
H10	MA 3A	400463.8409175347	393605.34375	190643.94880287637	36345115215.15375	90757.54538007863	71306.90312500001	924161.6718749994	852854.7687499993	13.965933807476793	14.299057757783105	1.5506201555396564	2.4044228667658283	0.17216341563058232	14.398326329907622	13.372234240421106	NA	9000	8869
H11	Haploid (BY)	114062.43067881945	108704.55078125	41837.27919722234	1750357930.6263332	15345.61310160964	49529.93847656251	224621.96796874993	175092.02949218743	10.85858516894775	11.685142942180786	1.9546103495948324	3.820501618743233	0.3518415667695553	12.038611029209491	NA	NA	9000	8465
H12	MA 5G	366569.6135190972	349119.453125	128932.00954618664	16623463085.617964	45348.720877411	170565.77109375	713916.1124999993	543350.3414062493	15.243242232841897	15.234474857112229	1.2813033233417912	1.6417382064067185	0.10770269089272608	16.329324910240693	14.073257085663531	NA	9000	8998
